feature,importance
title__great,1.4784270600444387e-05
title__gujarati,1.4741527516098066e-05
title__udaydoctorbodhgaya,1.4525273721209013e-05
title__oct 2025,1.4489741338251889e-05
title__tonight david,1.4405974464993737e-05
title__videos,1.4279125854713116e-05
title__concept,1.4222715043906894e-05
title__years,1.4150765551110472e-05
title__europe,1.407935166244517e-05
title__japanese,1.4074364391714044e-05
title__survive,1.4068106966205988e-05
title__international,1.3970097107810434e-05
title__sky,1.3947344769011702e-05
title__newsong,1.3922051429866013e-05
title__ultra,1.3896931849556183e-05
title__abc,1.3864544979097579e-05
title__bangladesh,1.3845352387766504e-05
title__brainrot,1.3833682269565894e-05
title__phonk,1.382442013433944e-05
title__ali,1.3820380681862794e-05
title__video shorts,1.3744590717249068e-05
title__olympics,1.3647674421456573e-05
title__jamuna tv,1.3584116494959086e-05
title__slowed,1.3532280608564546e-05
title__sydney,1.3492579087733004e-05
title__arsenal,1.336868887222853e-05
title__rule,1.328077311797269e-05
title__𝐋𝐚𝐭𝐞𝐬𝐭 𝐍𝐞𝐰𝐬,1.3227583267153792e-05
title__pradeep ranganathan,1.321000070750615e-05
title__road trip,1.2926683484963108e-05
title__funny technology,1.291499249727499e-05
title__technologies,1.2812033902456807e-05
title__trailer shortfeed,1.2776227110249136e-05
title__version,1.2723938303399952e-05
title__funnyvideos,1.2635419603119674e-05
title__shortfeed tonitoonzkahaniyan,1.2586431045465847e-05
title__ajker news,1.2561583740994214e-05
title__upcoming movies,1.2550086239510957e-05
title__mathematics,1.2512436237581552e-05
title__squid game,1.2476401814558874e-05
title__banker,1.246656850777112e-05
title__bulletin,1.2459939934600026e-05
title__comedy trending,1.2398950410263072e-05
title__expensive,1.2326367541037427e-05
title__asia,1.2267630958247241e-05
title__star,1.220522006528359e-05
title__yagnik,1.2123109592366834e-05
title__2025 nbc,1.211788987274352e-05
title__18 october,1.1875997597518938e-05
title__di,1.181036433756242e-05
title__south,1.1808014649581352e-05
title__algebra,1.1746715331147985e-05
title__tech pc,1.1593659310476047e-05
title__paris,1.157767286390097e-05
title__2025 trailer,1.1527500208530412e-05
title__bangla,1.1479533825707979e-05
title__music 2025,1.1454155985455969e-05
title__17 oct,1.1322938419029696e-05
title__team,1.1287508644475821e-05
title__cars,1.1283829034140396e-05
title__film,1.1253065941579791e-05
title__investment banker,1.1222545702663365e-05
title__minivlog shorts,1.120502266432933e-05
title__town,1.1190452791156592e-05
title__𝐏𝐚𝐤𝐢𝐬𝐭𝐚𝐧,1.1146494203772645e-05
title__shortsvideo,1.1133159883715132e-05
title__rajasthani,1.1104059768852157e-05
title__ways,1.104733999062165e-05
title__10 2025,1.1021177228780595e-05
title__introduction,1.096484669840274e-05
title__uk,1.0877899154508095e-05
title__এন সক,1.0686438976320853e-05
title__premier league,1.0678023542306005e-05
title__love songs,1.0623994829365004e-05
title__ucl,1.0524664329972304e-05
title__𝐍𝐞𝐰𝐬,1.0475644171060801e-05
title__travel guide,1.0426747893766354e-05
title__hindi songs,1.0375793978686349e-05
title__updates,1.03310841319373e-05
title__ankur warikoo,1.032072543370887e-05
title__status,1.026691494328815e-05
title__save,1.0266220289360547e-05
title__ankur,1.0028801873338454e-05
title__news 17,9.924283874967471e-06
title__nepali,9.791690821105051e-06
title__techno gamerz,9.76750027962431e-06
title__ajker,9.761831295055992e-06
title__1st,9.757346365425253e-06
title__news bulletin,9.5353681719239e-06
title__style,9.516155162127098e-06
title__college,9.472449732928436e-06
title__taking,9.434705513525627e-06
